X,Y,Ib
98500,4768500,1
1500,4766500,1
-500,4765500,1
500,4765500,1
4500,4762500,1
163500,4725500,1
164500,4725500,1
70500,4722500,1
162500,4721500,1
64500,4682500,1
78500,4673500,1
160500,4669500,1
70500,4666500,1
69500,4665500,1
70500,4665500,1
67500,4664500,1
69500,4664500,1
70500,4664500,1
74500,4664500,1
67500,4663500,1
69500,4663500,1
69500,4662500,1
103500,4655500,1
107500,4655500,1
87500,4649500,1
86500,4648500,1
87500,4648500,1
66500,4647500,1
86500,4647500,1
88500,4647500,1
73500,4646500,1
76500,4646500,1
86500,4646500,1
87500,4646500,1
88500,4646500,1
80500,4645500,1
86500,4645500,1
87500,4645500,1
80500,4644500,1
81500,4644500,1
69500,4643500,1
71500,4643500,1
77500,4643500,1
78500,4643500,1
79500,4643500,1
80500,4643500,1
81500,4643500,1
71500,4642500,1
76500,4642500,1
77500,4642500,1
78500,4642500,1
79500,4642500,1
80500,4642500,1
81500,4642500,1
82500,4642500,1
84500,4642500,1
85500,4642500,1
86500,4642500,1
70500,4641500,1
71500,4641500,1
72500,4641500,1
73500,4641500,1
74500,4641500,1
75500,4641500,1
76500,4641500,1
79500,4641500,1
81500,4641500,1
82500,4641500,1
73500,4640500,1
74500,4640500,1
75500,4640500,1
76500,4640500,1
77500,4640500,1
79500,4640500,1
80500,4640500,1
81500,4640500,1
72500,4639500,1
76500,4639500,1
80500,4639500,1
82500,4639500,1
71500,4638500,1
79500,4638500,1
82500,4638500,1
71500,4637500,1
79500,4637500,1
82500,4637500,1
71500,4636500,1
73500,4636500,1
76500,4636500,1
79500,4636500,1
77500,4634500,1
